15:00:00 GMT Thu Sep 17 2009,
,
05, Thu 12:00 - 13:00, Queue, 00003, 00003, 00000, 00008, 00011, 00000, 00000, 00000, 00000, 
06, Thu 12:00 - 13:00, HuntGp, 01, 00, 00000, 00000, 00000, 0000, 0000, 000000, 000000, 0000, 00000, 000000, 000000,
06, Thu 12:00 - 13:00, Queue, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 
07, Thu 12:00 - 13:00, HuntGp, 01, 00, 00000, 00000, 00000, 0000, 0000, 000000, 000000, 0000, 00000, 000000, 000000,
07, Thu 12:00 - 13:00, Queue, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 
16:00:00 GMT Wed Sep 16 2009,
,
01, Wed 12:00 - 13:00, HuntGp, 04, 01, 00000, 00000, 00000, 0000, 0000, 000000, 000000, 0000, 00000, 000000, 000000,
01, Wed 12:00 - 13:00, Agent, 220, 00000, 000000, 000000, 00000, 000000, 000000, 00002, 000213, 000393, 00000, 000000, 000000,
01, Wed 12:00 - 13:00, Agent, 221, 00000, 000000, 000000, 00000, 000000, 000000, 00001, 000063, 000063, 00000, 000000, 000000,
01, Wed 12:00 - 13:00, Queue, 00010, 00004, 00000, 00016, 00101, 00000, 00000, 00006, 00006, 
02, Wed 12:00 - 13:00, HuntGp, 05, 02, 00000, 00000, 00000, 0000, 0000, 000000, 000000, 0000, 00000, 000000, 000000,
02, Wed 12:00 - 13:00, Agent, 260, 00000, 000000, 000000, 00000, 000000, 000000, 00001, 000152, 000152, 00000, 000000, 000000,
02, Wed 12:00 - 13:00, Queue, 00001, 00001, 00000, 00008, 00008, 00000, 00000, 00000, 00000, 
03, Wed 12:00 - 13:00, HuntGp, 02, 01, 00000, 00000, 00000, 0000, 0000, 000000, 000000, 0000, 00000, 000000, 000000,
03, Wed 12:00 - 13:00, Agent, 260, 00000, 000000, 000000, 00000, 000000, 000000, 00001, 000141, 000141, 00000, 000000, 000000,
03, Wed 12:00 - 13:00, Queue, 00001, 00001, 00000, 00049, 00049, 00000, 00000, 00000, 00000, 
04, Wed 12:00 - 13:00, HuntGp, 02, 00, 00000, 00000, 00000, 0000, 0000, 000000, 000000, 0000, 00000, 000000, 000000,
04, Wed 12:00 - 13:00, Queue, 00002, 00000, 00000, 00070, 00141, 00000, 00000, 00002, 00002, 
05, Wed 12:00 - 13:00, HuntGp, 06, 02, 00000, 00000, 00000, 0000, 0000, 000000, 000000, 0000, 00000, 000000, 000000,
05, Wed 12:00 - 13:00, Agent, 260, 00000, 000000, 000000, 00000, 000000, 000000, 00001, 000049, 000049, 00000, 000000, 000000,
05, Wed 12:00 - 13:00, Queue, 00001, 00001, 00000, 00010, 00010, 00000, 00000, 00000, 00000, 
06, Wed 12:00 - 13:00, HuntGp, 02, 01, 00000, 00000, 00000, 0000, 0000, 000000, 000000, 0000, 00000, 000000, 000000,
06, Wed 12:00 - 13:00, Queue, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 
07, Wed 12:00 - 13:00, HuntGp, 02, 00, 00000, 00000, 00000, 0000, 0000, 000000, 000000, 0000, 00000, 000000, 000000,
07, Wed 12:00 - 13:00, Queue, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 00000, 
